#OTU ID	B-10PP-10PP	B-10PSH-10P	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-1CCP-1C	B-4MIH-4M	B-4MMP-4P	B-4MNIP-4I	B-5TAP-F8	B-6PEH-6	B-6PEP-6P	B-8NMH-8H	B-8NMP-8P	B-SVH1-Q1	B-SVH10-Q10	B-SVH11-Q11	B-SVH12-Q12	B-SVH14-Q14	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH5-Q5	B-SVH6-Q6	B-SVH7-Q7	B-SVH8-Q8	B-VEN-B12	B-VEN-C10	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-F11	B-VEN-G10	B-VEN-H11
OTU168	4	0	1	1	45	2	2	0	5	9	53	0	0	5	0	0	1	0	5	7	1	0	1	3	17	1	2	372	82	0	0	0	0	3	2
OTU169	1	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU17	0	0	0	0	498	191	333	214	31	36	0	0	0	0	0	0	105	0	0	62	60	3	586	2243	2115	8	98	1	0	0	0	5	0	143	0
OTU170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	38	0	0	0	0	0
OTU171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0
OTU172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	35	0	0
OTU173	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	35	0	0	0	0	0	0
OTU174	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30	0
OTU175	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	14	0	0	32	0	0	0
OTU176	0	0	0	0	0	0	0	0	10	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
OTU177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
OTU178	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	23	0	0	0
OTU179	9	0	0	0	6	0	3	0	5	7	5	0	0	0	0	1	0	0	0	6	1	0	4	5	6	1	7	13	3	3	0	8	2	2	3
OTU18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1323	0	0
OTU180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	34	0	0	0
OTU181	1	0	1	0	0	1	1	2	6	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	2	0	2	5	6	1	0	2	0	1	2
OTU182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
OTU183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
OTU184	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	33	0	0	0	0	0	0
OTU185	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	8	0	8	0	0	0
OTU186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0
OTU187	3	0	2	0	107	0	538	0	384	8	1	0	90	1	0	5	3	0	11	1	36	9	175	219	233	8	173	7	0	15	0	1002	0	13504	3
OTU188	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
OTU189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0
OTU19	0	3	0	0	0	0	0	0	0	3	2	0	1	12	7	0	0	0	0	0	0	0	2	1	1	0	0	3935	914	0	0	212	0	3287	3
OTU190	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	3	0	0	0	0	0
OTU191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	30	0
OTU192	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	6	0	0	0	0	0
OTU193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0
OTU194	5	0	1	1	1	0	2	0	4	0	2	0	0	2	0	1	0	0	0	1	1	1	2	1	2	1	1	1	2	3	0	2	0	2	2
OTU195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
OTU196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0	0	0
OTU197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0
OTU198	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	6	1	0	0	27	0	0	2	1	0	0
OTU199	1	0	0	0	2	0	1	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	2	1
OTU2	234048	436	7	2815	4067	3071	15	2	1410	915	355	0	399	225	310	17	14	0	101	157	66	5	12	478	1365	19	40	260	24422	21	155	37261	2	143	5
OTU20	148	0	0	3	0	0	0	0	0	419	1	0	9953	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	21	0	0	1	0	0	0
OTU201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
OTU202	7	0	2	1	2938	1	82	1	402	30	45	0	370	4	1	1	6	0	23	49	34	4	17	254	683	6	20	0	6	5	0	345	0	63	0
OTU203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	0	0	0
OTU204	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	22	0	0	0	0	0
OTU206	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	0	0	0	0	0
OTU207	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	3	0	0	0	13	0	0	5	0	0	0
OTU208	1	0	0	0	47	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	10	1	0	0	0	0	0
OTU209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
OTU21	5	0	0	0	10	0	1	0	1	5	1	0	1	3	0	0	0	0	0	1	0	1	1	2	7	0	6	2709	26	2	0	2	0	1	2
OTU210	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU211	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
OTU212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
OTU213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
OTU214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
OTU215	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	0	0	0
OTU216	5	0	28	0	27923	0	3693	1	4035	76	231	0	688	1	0	50	120	18	1274	18	529	67	6003	2418	7939	223	5023	1069	4	2550	0	3315	1	30716	99
OTU217	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
OTU219	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0
OTU22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1434	0	0	0	0	0	0	0
OTU220	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU221	2	0	0	0	47	0	1	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	3	1	0	3	1	0	0
OTU222	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
OTU223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
OTU224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
OTU225	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	5	0	0	0	0	0
OTU226	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	19	0	0	0	0	0	2
OTU227	0	0	0	0	1	0	0	0	37	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0
OTU228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
OTU229	1	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3	2	0	1	1	3	0	2	0	0	0	0	7	0	1	0
OTU23	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	22716	0	1
OTU230	0	0	0	1	1	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	1	0	2	0	1	1	0	0	0	20	2	0	0
OTU231	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0
OTU232	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0
OTU233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	19	0	0	0
OTU234	0	0	0	0	1	0	0	0	2	17	1	0	0	0	0	0	0	0	1	1	0	0	3	5	7	1	3	3	0	0	0	1	0	1	0
OTU235	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU236	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21	0	0	0	0	0	0
OTU237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
OTU238	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0
OTU239	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0
OTU24	17	0	0	4959	0	0	1	0	15	97	0	0	0	0	0	1	0	0	1	4	1	0	0	4	37	0	7	1	0	0	0	7	1	3	0
OTU240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
OTU241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	16	0	0	0	0	0	0
OTU242	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	6	10	0	0	0	8	0	0	0	0	0	0
OTU243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
OTU244	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
OTU245	3	1	0	0	17	1	0	0	1	0	4	0	0	1	0	0	0	0	1	2	0	0	0	0	3	0	3	1	7	0	0	1	0	0	0
OTU246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
OTU247	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	14	0	14	0	0	0
OTU248	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
OTU249	0	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0
OTU25	1	0	7	0	10	0	0	30	315	0	393	0	21	48	8	90	24	0	5	38	19	2	12	164	351	4	26	3938	82	12	0	30	0	31	2
OTU250	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	3	0
OTU251	9	0	4	0	1653	0	11	0	407	74	14	0	335	3	0	10	1	0	41	7	41	9	10	353	824	4	42	1	1	3	0	219	0	31	1
OTU252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
OTU253	6	0	0	0	3	6	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	4	0	9	1	2	4	20	1	0	13	3	3	2
OTU254	0	0	0	0	3	0	0	0	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	22	0	0	0	0	0
OTU255	0	12	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
OTU256	3	0	7	0	284	0	878	0	1163	14	5	0	178	0	0	14	10	0	68	7	105	8	626	658	743	19	565	24	0	36	0	862	0	10429	0
